linkdir,access,access_delta,link,fr_edge_src,fr_edge_tgt,fr_dist_from_start,fr_dist_to_end,to_edge_src,to_edge_tgt,to_dist_from_start,to_dist_to_end,geographic_length_m,network_length_m,score,score_gravity,rank
/home/mwbc/ped-transit-data/networks/links_top250/link_id_57788,17104873750,2380544,57788,"VertexID(195410384, :node)","VertexID(6342008526, :node)",0,7,"VertexID(-664, :node)","VertexID(195472639, :node)",7,22,24,0,140878.25240561966,23162.933450365083,36
/home/mwbc/ped-transit-data/networks/links_top250/link_id_58391,17176506639,74013433,58391,"VertexID(170534021, :node)","VertexID(6119788388, :node)",24,99,"VertexID(6201758069, :node)","VertexID(6201758070, :node)",42,0,73,0,127056.75030485164,14887.500469172363,52
/home/mwbc/ped-transit-data/networks/links_top250/link_id_58449,17102503646,10440,58449,"VertexID(6373865516, :node)","VertexID(6373866012, :node)",7,0,"VertexID(510885, :island)","VertexID(510886, :island)",0,0,35,0,67399.16915164691,10302.759195660863,194
/home/mwbc/ped-transit-data/networks/links_top250/link_id_58499,17116956954,14463748,58499,"VertexID(1307078068, :node)","VertexID(1743924843, :node)",30,63,"VertexID(512046, :split)","VertexID(6110164337, :node)",199,102,73,0,175935.20940526467,25531.395521943014,18
/home/mwbc/ped-transit-data/networks/links_top250/link_id_58706,17102493206,0,58706,"VertexID(1984399498, :node)","VertexID(1984399576, :node)",58,280,"VertexID(5312739574, :node)","VertexID(5312739579, :node)",86,0,87,0,60237.76554145831,5320.278934593264,233
/home/mwbc/ped-transit-data/networks/links_top250/link_id_58756,17103618113,1124907,58756,"VertexID(2087318540, :node)","VertexID(2087318578, :node)",22,7,"VertexID(3579429655, :node)","VertexID(11201061625, :node)",4,0,44,0,110194.02755318573,11465.641797508983,79
/home/mwbc/ped-transit-data/networks/links_top250/link_id_58822,17102564074,70868,58822,"VertexID(170579657, :node)","VertexID(6184643534, :node)",0,5,"VertexID(6184643539, :node)","VertexID(6184643540, :node)",5,0,17,0,83505.89970555386,14650.701051931317,126
/home/mwbc/ped-transit-data/networks/links_top250/link_id_59265,17109920207,7427001,59265,"VertexID(510848, :split)","VertexID(6380798468, :node)",50,152,"VertexID(7161031122, :node)","VertexID(7161031150, :node)",74,0,83,0,91826.10596026533,17191.083633833,104
/home/mwbc/ped-transit-data/networks/links_top250/link_id_59689,17106170458,3677252,59689,"VertexID(195472641, :node)","VertexID(1215465761, :node)",0,27,"VertexID(6204659705, :node)","VertexID(6481531996, :node)",83,50,27,0,146577.71122768946,21094.991804390305,32
/home/mwbc/ped-transit-data/networks/links_top250/link_id_59711,17110985938,8492732,59711,"VertexID(511274, :split)","VertexID(6252047910, :node)",157,194,"VertexID(170718544, :node)","VertexID(7013296961, :node)",0,7,71,0,71884.14993992608,8168.458955724516,170
/home/mwbc/ped-transit-data/networks/links_top250/link_id_59854,17109037769,6544563,59854,"VertexID(2086689048, :node)","VertexID(2086689083, :node)",0,77,"VertexID(2086689034, :node)","VertexID(2086689102, :node)",142,163,57,0,111211.74834437165,10027.621593473381,78
/home/mwbc/ped-transit-data/networks/links_top250/link_id_60191,17118475843,15982637,60191,"VertexID(195496421, :node)","VertexID(2870569168, :node)",36,98,"VertexID(553320890, :node)","VertexID(553321250, :node)",195,70,16,0,90269.99999999999,10385.19486893282,108
/home/mwbc/ped-transit-data/networks/links_top250/link_id_60710,17105399768,2906562,60710,"VertexID(1597118938, :node)","VertexID(1597119150, :node)",52,139,"VertexID(195398901, :node)","VertexID(13041308721, :node)",0,12,84,0,58516.224839770024,5382.217130468777,240
/home/mwbc/ped-transit-data/networks/links_top250/link_id_6113,17102493206,0,6113,"VertexID(172715733, :node)","VertexID(6889229925, :node)",61,136,"VertexID(5312739574, :node)","VertexID(5312739575, :node)",21,0,61,0,58393.936642496854,5637.043123033599,241
/home/mwbc/ped-transit-data/networks/links_top250/link_id_61227,17103327302,834096,61227,"VertexID(195417829, :node)","VertexID(195417836, :node)",0,123,"VertexID(6342008536, :node)","VertexID(6342008538, :node)",80,24,31,0,87069.34900160135,11724.103237518157,114
/home/mwbc/ped-transit-data/networks/links_top250/link_id_61515,17105213416,2720210,61515,"VertexID(512157, :split)","VertexID(195659230, :node)",0,131,"VertexID(510353, :split)","VertexID(6014374581, :node)",10,120,36,0,59433.65887574213,7443.390788814875,236
/home/mwbc/ped-transit-data/networks/links_top250/link_id_61613,17120333312,17840106,61613,"VertexID(1431908213, :node)","VertexID(1431908223, :node)",0,110,"VertexID(512045, :split)","VertexID(6110164332, :node)",14,90,30,0,174081.25523577238,19136.70314140774,20
/home/mwbc/ped-transit-data/networks/links_top250/link_id_61768,17110611410,8118204,61768,"VertexID(1597119002, :node)","VertexID(9585885696, :node)",118,185,"VertexID(6970589926, :node)","VertexID(6970589941, :node)",0,88,73,0,102693.81359809349,9545.347347976733,91
/home/mwbc/ped-transit-data/networks/links_top250/link_id_61844,17115463702,12970496,61844,"VertexID(5939949473, :node)","VertexID(9387172998, :node)",21,5,"VertexID(6311780593, :node)","VertexID(6311780594, :node)",21,0,14,0,85798.2460701188,13775.499730198404,118
/home/mwbc/ped-transit-data/networks/links_top250/link_id_61951,17102496758,3552,61951,"VertexID(6314512337, :node)","VertexID(6314512371, :node)",0,27,"VertexID(511012, :split)","VertexID(511239, :split)",155,0,28,0,73897.21546004282,11748.960140905887,162
/home/mwbc/ped-transit-data/networks/links_top250/link_id_62114,17120331678,17838472,62114,"VertexID(1431908213, :node)","VertexID(1431908223, :node)",0,110,"VertexID(195398902, :node)","VertexID(6110164336, :node)",0,9,31,0,164158.98584100322,18268.99531630798,23
/home/mwbc/ped-transit-data/networks/links_top250/link_id_62219,17105010659,2517453,62219,"VertexID(195544908, :node)","VertexID(1302113002, :node)",0,11,"VertexID(4359442965, :node)","VertexID(4359521707, :node)",12,8,14,0,339787.19427103427,43054.949251047365,4
/home/mwbc/ped-transit-data/networks/links_top250/link_id_6242,17131509622,29016416,6242,"VertexID(1854281737, :node)","VertexID(11044113083, :node)",15,3,"VertexID(6088921262, :node)","VertexID(6088922121, :node)",83,52,88,0,66681.57700912558,10822.343859275043,200
/home/mwbc/ped-transit-data/networks/links_top250/link_id_62789,17131526571,29033365,62789,"VertexID(11044113083, :node)","VertexID(11044113084, :node)",0,7,"VertexID(6088922118, :node)","VertexID(6970366969, :node)",52,59,97,0,67901.58004151385,11316.352633127779,192
/home/mwbc/ped-transit-data/networks/links_top250/link_id_62896,17105371906,2878700,62896,"VertexID(512626, :split)","VertexID(195472641, :node)",12,16,"VertexID(6204659760, :node)","VertexID(6204659762, :node)",41,0,57,0,105075.65570137903,13870.92629307956,85
/home/mwbc/ped-transit-data/networks/links_top250/link_id_63136,17104569738,2076532,63136,"VertexID(1256259557, :node)","VertexID(1256259732, :node)",0,109,"VertexID(1256291572, :node)","VertexID(1256291639, :node)",12,27,83,0,79280.48773968536,13778.285090300687,143
/home/mwbc/ped-transit-data/networks/links_top250/link_id_63369,17102733257,240051,63369,"VertexID(195433218, :node)","VertexID(6239053294, :node)",0,10,"VertexID(513065, :split)","VertexID(6682291799, :node)",8,367,20,0,87340.55649101645,12170.738420471482,113
/home/mwbc/ped-transit-data/networks/links_top250/link_id_63777,17102644162,150956,63777,"VertexID(195410495, :node)","VertexID(195410499, :node)",0,49,"VertexID(9943404455, :node)","VertexID(10960234443, :node)",36,25,99,0,63373.62245833203,6411.688258177881,220
/home/mwbc/ped-transit-data/networks/links_top250/link_id_638,17102525475,32269,638,"VertexID(170579657, :node)","VertexID(6184643534, :node)",0,5,"VertexID(511140, :split)","VertexID(6184643540, :node)",41,16,8,0,87389.82047421919,15265.650593475544,112
/home/mwbc/ped-transit-data/networks/links_top250/link_id_64087,17102664518,171312,64087,"VertexID(172735649, :node)","VertexID(7949796923, :node)",46,0,"VertexID(4962922484, :node)","VertexID(6814709975, :node)",71,100,80,0,59062.55669098749,5914.478833663966,237
/home/mwbc/ped-transit-data/networks/links_top250/link_id_64258,17102493206,0,64258,"VertexID(5911215578, :node)","VertexID(9482544265, :node)",21,0,"VertexID(512142, :split)","VertexID(6342008560, :node)",29,98,84,0,74787.55769230778,12754.822188636981,158
/home/mwbc/ped-transit-data/networks/links_top250/link_id_64894,17102492986,-220,64894,"VertexID(3366622234, :node)","VertexID(6184643453, :node)",0,9,"VertexID(6184643472, :node)","VertexID(6184643483, :node)",124,222,6,0,91376.15999999968,12381.398878634776,105
/home/mwbc/ped-transit-data/networks/links_top250/link_id_64986,17105228387,2735181,64986,"VertexID(-3227, :node)","VertexID(6069435992, :node)",0,30,"VertexID(9951889642, :node)","VertexID(9951889646, :node)",31,0,77,0,57575.15850336224,6391.58256848933,246
/home/mwbc/ped-transit-data/networks/links_top250/link_id_6524,17103025576,532370,6524,"VertexID(195400114, :node)","VertexID(195400118, :node)",46,29,"VertexID(-664, :node)","VertexID(195472639, :node)",15,14,69,0,106611.31232915256,14046.839517474302,83
/home/mwbc/ped-transit-data/networks/links_top250/link_id_65397,17102493206,0,65397,"VertexID(1756100457, :node)","VertexID(6110156202, :node)",10,10,"VertexID(6110156203, :node)","VertexID(7120956262, :node)",7,6,11,0,58951.4398148148,7904.75593936106,238
/home/mwbc/ped-transit-data/networks/links_top250/link_id_65519,17102770286,277080,65519,"VertexID(170694062, :node)","VertexID(170694069, :node)",21,0,"VertexID(6293726987, :node)","VertexID(6293726998, :node)",28,18,70,0,68972.31902973296,5367.564022403828,185
/home/mwbc/ped-transit-data/networks/links_top250/link_id_65591,17104439660,1946454,65591,"VertexID(3895225758, :node)","VertexID(6329599595, :node)",7,0,"VertexID(510706, :split)","VertexID(6329599980, :node)",14,0,17,0,82528.22156197148,14874.776945469923,130
/home/mwbc/ped-transit-data/networks/links_top250/link_id_65739,17102530798,37592,65739,"VertexID(172650848, :node)","VertexID(172654405, :node)",0,58,"VertexID(2724385067, :node)","VertexID(5733754426, :node)",44,0,11,0,65384.16883797481,7953.146797097879,208
/home/mwbc/ped-transit-data/networks/links_top250/link_id_65818,17103096525,603319,65818,"VertexID(299522639, :node)","VertexID(7235784352, :node)",13,54,"VertexID(-5197, :node)","VertexID(6988141253, :node)",16,20,13,0,480222.3155129412,65503.29280912681,1
/home/mwbc/ped-transit-data/networks/links_top250/link_id_6582,17102558240,65034,6582,"VertexID(10303510439, :node)","VertexID(10303510443, :node)",98,152,"VertexID(6240218607, :node)","VertexID(6240218608, :node)",42,0,70,0,69376.31572518239,8827.41670099663,181
/home/mwbc/ped-transit-data/networks/links_top250/link_id_66224,17121644652,19151446,66224,"VertexID(195394966, :node)","VertexID(1431908171, :node)",39,0,"VertexID(512046, :split)","VertexID(6110164337, :node)",32,269,8,0,122164.19914746212,21760.546775682295,63
/home/mwbc/ped-transit-data/networks/links_top250/link_id_66574,17103246282,753076,66574,"VertexID(170524442, :node)","VertexID(332599672, :node)",0,115,"VertexID(6293726784, :node)","VertexID(6293726985, :node)",22,0,84,0,62248.11602494781,5783.239068209052,227
/home/mwbc/ped-transit-data/networks/links_top250/link_id_67122,17103967231,1474025,67122,"VertexID(172713733, :node)","VertexID(2702958474, :node)",0,75,"VertexID(172713964, :node)","VertexID(9477063640, :node)",0,8,15,0,90683.16915580479,15480.578743030106,107
/home/mwbc/ped-transit-data/networks/links_top250/link_id_67208,17104902746,2409540,67208,"VertexID(1992384461, :node)","VertexID(5314263417, :node)",15,63,"VertexID(-3227, :node)","VertexID(6069435992, :node)",9,21,84,0,74542.99051755106,8115.851850800292,159
/home/mwbc/ped-transit-data/networks/links_top250/link_id_68793,17113145843,10652637,68793,"VertexID(1307078068, :node)","VertexID(1307078089, :node)",11,41,"VertexID(1597119002, :node)","VertexID(9585885696, :node)",28,275,92,0,138023.9691643295,16207.692385352928,40
/home/mwbc/ped-transit-data/networks/links_top250/link_id_6897,17103929694,1436488,6897,"VertexID(5790947773, :node)","VertexID(8570202414, :node)",36,121,"VertexID(11905853977, :node)","VertexID(11905853979, :node)",0,25,85,0,212850.08923286572,16545.481099082634,16
/home/mwbc/ped-transit-data/networks/links_top250/link_id_69028,17102727326,234120,69028,"VertexID(195515724, :node)","VertexID(6270549632, :node)",0,7,"VertexID(6239053330, :node)","VertexID(6270706042, :node)",126,0,62,0,77797.79655435662,7019.284355061923,148
/home/mwbc/ped-transit-data/networks/links_top250/link_id_69130,17104726180,2232974,69130,"VertexID(195417848, :node)","VertexID(1215465739, :node)",0,28,"VertexID(512141, :split)","VertexID(6342008527, :node)",24,101,8,0,141531.22999570938,21244.88989106301,35
/home/mwbc/ped-transit-data/networks/links_top250/link_id_69155,17172725565,70232359,69155,"VertexID(170534021, :node)","VertexID(170572093, :node)",20,6,"VertexID(6201758073, :node)","VertexID(6201758074, :node)",0,43,71,0,125398.02459960936,14071.734405095622,55
/home/mwbc/ped-transit-data/networks/links_top250/link_id_69241,17104244857,1751651,69241,"VertexID(195419952, :node)","VertexID(195429395, :node)",84,105,"VertexID(195417848, :node)","VertexID(1215465739, :node)",0,28,38,0,89377.19291902597,11936.944923131245,110
/home/mwbc/ped-transit-data/networks/links_top250/link_id_6936,17104636146,2142940,6936,"VertexID(170538823, :node)","VertexID(170538826, :node)",147,0,"VertexID(6139621904, :node)","VertexID(6139621905, :node)",0,4,43,0,69221.59222966505,6987.834891635786,182
/home/mwbc/ped-transit-data/networks/links_top250/link_id_7393,17120021721,17528515,7393,"VertexID(1431908255, :node)","VertexID(1431908305, :node)",48,15,"VertexID(512045, :split)","VertexID(6110164332, :node)",29,75,63,0,173657.196247347,17913.184548440517,21
/home/mwbc/ped-transit-data/networks/links_top250/link_id_773,17118442879,15949673,773,"VertexID(195496421, :node)","VertexID(2870569168, :node)",12,122,"VertexID(195728022, :node)","VertexID(12181652058, :node)",0,5,49,0,82178.57142857142,10014.657758247562,132
/home/mwbc/ped-transit-data/networks/links_top250/link_id_7841,17107336610,4843404,7841,"VertexID(195394966, :node)","VertexID(1431908171, :node)",39,0,"VertexID(1597119002, :node)","VertexID(9585885696, :node)",142,161,46,0,105062.3391114583,9174.02093202001,86
/home/mwbc/ped-transit-data/networks/links_top250/link_id_7874,17104921200,2427994,7874,"VertexID(195501760, :node)","VertexID(1215465788, :node)",0,17,"VertexID(512141, :split)","VertexID(6342008534, :node)",0,50,69,0,121761.46795081552,17762.50557114544,64
/home/mwbc/ped-transit-data/networks/links_top250/link_id_8285,17106019007,3525801,8285,"VertexID(1854281781, :node)","VertexID(1854281896, :node)",24,0,"VertexID(10698189559, :node)","VertexID(13533529090, :node)",24,147,91,0,61786.27178970328,7069.934549367686,230
/home/mwbc/ped-transit-data/networks/links_top250/link_id_8586,17102864468,371262,8586,"VertexID(6507351960, :node)","VertexID(6507351961, :node)",57,44,"VertexID(4359442965, :node)","VertexID(4359442966, :node)",12,0,82,0,239698.42894146976,19811.104497089513,14
/home/mwbc/ped-transit-data/networks/links_top250/link_id_8733,17102530798,37592,8733,"VertexID(172650848, :node)","VertexID(172654405, :node)",0,58,"VertexID(573826795, :node)","VertexID(5733754426, :node)",163,8,7,0,66073.05687350755,8015.273747646624,205
/home/mwbc/ped-transit-data/networks/links_top250/link_id_901,17104942930,2449724,901,"VertexID(5664291407, :node)","VertexID(11261366873, :node)",25,0,"VertexID(10722200856, :node)","VertexID(11261663914, :node)",189,309,35,0,102344.88186821155,7502.274944805774,93
/home/mwbc/ped-transit-data/networks/links_top250/link_id_907,17131351645,28858439,907,"VertexID(1854281737, :node)","VertexID(1854281752, :node)",12,0,"VertexID(6088922122, :node)","VertexID(6088954705, :node)",77,459,62,0,65431.91406961033,9466.221377121208,207
