transit_score,transit_score_delta,filename,link_id
16952358464,6834,/home/mwbc/ped-transit-data/networks/links/link_id_14794,14794
16952619665,268035,/home/mwbc/ped-transit-data/networks/links/link_id_14818,14818
16953950844,1599214,/home/mwbc/ped-transit-data/networks/links/link_id_14888,14888
16954285198,1933568,/home/mwbc/ped-transit-data/networks/links/link_id_15023,15023
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_15061,15061
16962996416,10644786,/home/mwbc/ped-transit-data/networks/links/link_id_15136,15136
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_15184,15184
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_15276,15276
16953435709,1084079,/home/mwbc/ped-transit-data/networks/links/link_id_15383,15383
16952363582,11952,/home/mwbc/ped-transit-data/networks/links/link_id_15569,15569
16952360032,8402,/home/mwbc/ped-transit-data/networks/links/link_id_15712,15712
16952410502,58872,/home/mwbc/ped-transit-data/networks/links/link_id_15762,15762
16952979309,627679,/home/mwbc/ped-transit-data/networks/links/link_id_15777,15777
16953172807,821177,/home/mwbc/ped-transit-data/networks/links/link_id_15847,15847
16952352665,1035,/home/mwbc/ped-transit-data/networks/links/link_id_15881,15881
16952627275,275645,/home/mwbc/ped-transit-data/networks/links/link_id_15928,15928
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_15952,15952
16952378590,26960,/home/mwbc/ped-transit-data/networks/links/link_id_1618,1618
16952826344,474714,/home/mwbc/ped-transit-data/networks/links/link_id_16196,16196
16952824000,472370,/home/mwbc/ped-transit-data/networks/links/link_id_16252,16252
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16260,16260
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16291,16291
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_1634,1634
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16351,16351
16954297780,1946150,/home/mwbc/ped-transit-data/networks/links/link_id_16370,16370
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16408,16408
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16493,16493
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_1652,1652
16952437302,85672,/home/mwbc/ped-transit-data/networks/links/link_id_1659,1659
16952421926,70296,/home/mwbc/ped-transit-data/networks/links/link_id_16592,16592
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16593,16593
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_166,166
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16632,16632
16955093773,2742143,/home/mwbc/ped-transit-data/networks/links/link_id_16675,16675
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16725,16725
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16914,16914
16957432233,5080603,/home/mwbc/ped-transit-data/networks/links/link_id_16948,16948
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_16962,16962
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_17021,17021
16953480766,1129136,/home/mwbc/ped-transit-data/networks/links/link_id_17048,17048
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_17117,17117
16954209900,1858270,/home/mwbc/ped-transit-data/networks/links/link_id_17263,17263
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_17294,17294
16952441464,89834,/home/mwbc/ped-transit-data/networks/links/link_id_1771,1771
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_17926,17926
16952352544,914,/home/mwbc/ped-transit-data/networks/links/link_id_17954,17954
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_17966,17966
